tone,weather,b,b_chin,b_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
warm,fall,6.12,13.44,9.94,10.74,23.98,16.03,18.46,19.25,22.11
warm,fall,9.01,13.36,16.05,13.36,20.44,26.19,27.1,26.09,25.09
warm,fall,19.95,22.01,20.39,31.54,36.68,33.06,20.53,19.29,18.52
warm,fall,15.72,23.46,19.41,31.16,38.68,32.16,17.42,22.68,20.55
warm,fall,15.8,16.15,18.92,21.76,22.88,27.66,28.85,27.78,25.85
warm,fall,13.51,17.46,15.3,25.12,36.99,27.96,19.62,18.75,19.32
warm,fall,15.39,17.79,16.49,25.22,33.68,26.09,22.11,20.31,23.0
warm,fall,7.62,10.34,9.24,24.61,25.0,17.47,2.55,9.23,16.5
warm,fall,11.09,13.17,11.24,26.09,22.17,19.75,13.75,22.04,17.87
warm,fall,15.49,16.91,15.32,29.73,36.36,30.57,21.82,20.0,18.31
warm,fall,8.91,13.75,14.15,14.68,26.49,26.04,24.38,22.04,22.8
warm,fall,16.47,18.92,16.08,26.96,28.63,25.1,21.29,24.18,21.64
warm,fall,8.91,13.55,14.67,14.68,25.67,26.56,24.38,22.5,23.53
warm,fall,19.44,22.53,20.42,31.12,37.12,33.2,20.0,19.76,18.52
warm,fall,21.35,25.92,23.53,30.04,38.46,32.94,24.47,24.0,24.58
warm,fall,9.08,12.25,12.02,23.21,21.33,21.49,13.85,20.0,18.37
warm,fall,5.59,11.33,13.08,17.73,19.15,23.87,12.0,20.0,18.11
warm,fall,11.12,9.82,7.7,25.82,19.5,16.33,9.82,12.77,10.5
warm,fall,21.68,25.59,26.01,30.04,38.46,36.69,25.26,23.33,24.4
warm,fall,15.39,17.79,16.49,25.22,33.68,26.09,22.11,20.31,23.0
warm,fall,10.48,15.51,15.13,19.46,28.71,27.49,18.14,19.0,19.66
warm,fall,19.97,18.19,17.13,26.8,24.9,24.7,27.76,27.1,24.19
warm,fall,4.46,15.51,7.62,7.63,24.35,13.06,18.95,23.57,18.75
warm,fall,12.55,12.72,10.55,19.74,20.35,16.67,23.48,22.98,22.5
warm,fall,21.97,16.91,21.31,32.74,48.31,32.0,25.95,17.89,25.83
warm,fall,17.39,31.76,19.9,27.23,51.23,32.46,22.5,24.23,21.08
warm,fall,13.93,11.26,11.6,32.08,22.5,23.53,18.82,12.22,11.79
warm,fall,11.07,15.76,11.26,23.68,29.28,22.5,11.11,16.62,12.22
warm,fall,13.51,11.09,8.96,34.29,19.33,17.81,11.0,18.26,12.27
warm,fall,14.96,20.04,16.35,23.01,32.24,24.68,25.38,24.35,25.26
warm,fall,3.71,18.39,20.35,8.04,28.63,33.93,13.33,24.0,20.53
warm,fall,20.59,19.09,16.96,46.86,29.06,24.69,13.17,23.82,25.0
warm,fall,14.46,30.99,20.38,24.24,51.87,36.79,20.36,25.98,18.46
warm,fall,10.75,13.69,12.43,20.6,24.34,22.82,15.0,18.55,15.27
warm,fall,13.72,24.66,17.48,24.55,40.58,31.78,18.55,23.57,18.53
warm,fall,15.34,14.59,10.51,33.33,28.57,18.97,17.29,17.59,17.73
warm,fall,12.04,14.92,16.08,35.46,32.8,35.29,12.0,14.52,14.55
warm,fall,15.02,15.68,15.23,37.18,29.19,28.7,15.52,18.69,15.94
warm,fall,15.43,13.38,11.1,36.65,27.57,22.01,16.27,18.82,16.96
warm,fall,15.87,12.46,14.87,30.5,23.29,29.3,18.69,17.65,15.24
warm,fall,26.83,25.43,23.4,49.71,39.9,35.48,23.45,26.02,26.49
warm,fall,3.8,11.42,11.95,25.23,28.98,30.48,357.78,11.76,9.47
warm,fall,20.33,17.72,12.3,31.98,26.98,18.11,19.75,21.18,23.48
warm,fall,11.17,17.42,17.23,29.1,31.61,32.18,20.0,22.62,19.38
warm,fall,9.49,17.58,16.74,28.57,30.88,30.67,14.21,19.7,16.52
warm,fall,12.07,11.21,13.08,36.18,31.98,27.85,8.73,7.64,11.8
warm,fall,25.43,8.25,26.63,36.51,13.81,38.34,22.83,31.2,22.27
warm,fall,14.68,14.81,14.37,36.43,28.8,32.93,22.98,21.51,17.78
warm,fall,17.35,11.35,16.42,32.39,42.55,31.48,17.39,15.0,15.88
warm,fall,14.63,20.97,21.75,27.4,39.15,45.35,17.0,21.08,18.46
warm,fall,16.98,14.02,14.54,37.8,23.14,24.78,18.39,21.51,20.36
warm,fall,16.96,15.48,13.98,35.88,24.58,21.74,19.67,21.36,20.73
warm,fall,16.81,17.13,8.48,40.96,35.48,17.81,13.24,17.27,13.85
warm,fall,17.79,16.77,18.42,30.38,26.11,27.23,35.0,34.47,34.62
warm,fall,15.22,19.47,19.25,36.63,34.04,34.58,13.33,16.5,14.46
warm,fall,16.86,14.28,16.72,36.9,26.07,29.49,18.39,19.64,19.69
warm,fall,15.72,19.51,20.86,23.42,27.11,29.02,27.69,30.49,30.46
warm,fall,14.23,12.16,11.23,25.7,23.72,19.67,19.64,16.47,17.87
warm,fall,7.05,20.85,20.29,26.32,40.93,36.23,6.86,17.47,20.0
warm,fall,15.92,14.39,15.58,23.11,19.75,21.99,26.18,29.36,27.17
warm,fall,16.83,13.24,10.94,33.73,16.74,14.77,23.57,36.32,30.86
warm,fall,16.1,16.33,13.16,33.33,26.34,26.26,23.77,26.67,21.7
warm,fall,10.94,11.61,11.85,24.0,18.55,19.74,18.57,24.88,20.87
warm,fall,16.3,13.33,9.42,25.5,24.74,19.7,29.41,22.98,16.92
warm,fall,18.07,12.49,15.97,36.32,24.65,29.09,15.62,15.85,17.81
warm,fall,18.7,12.94,11.51,27.44,17.5,16.06,29.49,30.0,27.0
warm,fall,20.1,18.64,14.85,53.03,38.76,26.92,16.29,18.26,20.36
warm,fall,21.46,13.89,15.04,46.01,23.5,26.85,19.2,22.35,19.66
warm,fall,17.1,15.93,11.5,29.72,26.91,19.69,15.41,17.01,16.8
warm,fall,12.35,10.87,11.55,21.85,19.05,20.0,17.31,19.09,16.8
warm,fall,12.06,12.59,16.8,32.47,24.29,31.78,13.2,17.65,16.76
warm,fall,12.44,15.78,14.38,31.67,31.38,31.9,25.26,19.32,19.62
warm,fall,21.21,22.02,22.33,29.96,34.05,31.8,27.04,22.78,26.05
warm,fall,15.88,15.34,11.71,31.58,24.7,19.37,15.45,19.67,18.37
warm,fall,13.8,12.88,15.29,35.8,23.11,27.51,12.41,18.46,17.14
warm,fall,10.75,17.32,11.11,26.23,29.58,26.42,12.5,21.9,11.76
warm,fall,29.81,17.42,12.25,56.11,25.99,19.5,20.2,26.44,21.7
warm,fall,1.69,18.58,19.33,3.48,43.42,42.68,15.0,18.18,18.0
warm,fall,16.7,11.74,10.28,35.6,23.92,22.33,15.0,15.6,12.5
warm,fall,16.55,16.93,17.9,26.43,27.68,29.2,23.0,22.26,21.82
warm,fall,14.33,16.15,14.62,24.66,24.55,22.55,21.11,26.18,23.77
warm,fall,21.86,22.85,14.32,46.95,42.93,26.53,18.7,19.76,13.85
warm,fall,21.48,21.56,20.41,37.89,36.56,34.41,16.74,18.8,16.24
warm,fall,11.16,15.28,11.54,21.28,33.72,25.93,22.5,17.59,14.69
warm,fall,21.01,17.12,11.69,49.64,33.52,21.84,21.18,22.37,20.0
warm,fall,16.94,12.0,11.95,39.13,22.02,23.56,17.14,18.75,17.14
warm,fall,22.68,29.72,31.5,43.79,45.5,42.06,23.51,23.76,26.04
warm,fall,26.87,23.39,25.65,36.76,49.31,37.7,25.16,25.35,21.47
warm,fall,14.81,15.42,12.0,32.5,28.78,22.88,20.77,19.32,14.44
warm,fall,8.97,16.33,7.89,22.41,26.05,17.6,5.77,21.29,8.18
warm,fall,12.62,16.22,11.99,40.15,35.56,29.02,10.19,15.94,10.71
warm,fall,13.62,23.1,21.91,32.48,31.82,28.17,17.65,27.27,29.58
warm,fall,5.43,21.46,22.14,7.87,39.29,40.85,60.0,27.27,27.76
warm,fall,18.88,18.34,17.64,28.95,25.78,25.73,24.55,30.0,25.16
warm,fall,4.29,20.65,20.94,7.49,50.0,49.62,21.18,26.0,23.08
warm,fall,11.78,13.77,11.87,19.91,22.67,19.91,21.33,22.35,20.87
warm,fall,15.96,18.99,15.83,28.57,33.04,28.57,15.88,18.65,14.57
warm,fall,14.01,13.36,12.61,35.5,29.74,28.5,12.0,13.45,11.19
warm,fall,15.91,24.34,19.37,33.33,41.29,37.38,14.33,23.13,16.36
warm,fall,13.99,13.03,12.29,22.42,20.63,17.87,24.0,24.78,27.14
warm,fall,16.21,18.85,13.23,25.69,29.39,19.69,19.38,20.83,22.8
warm,fall,9.87,18.02,11.56,21.23,36.81,24.12,18.95,23.0,16.25
warm,fall,22.88,23.57,24.4,39.18,43.68,40.98,24.47,24.47,22.86
warm,fall,16.65,15.66,15.98,30.85,38.62,35.54,22.76,18.21,18.31
warm,fall,21.03,28.94,20.4,29.8,45.26,28.69,25.48,30.0,25.0
warm,fall,13.38,16.14,14.62,25.64,25.56,26.36,20.4,24.21,18.62
warm,fall,15.52,20.47,14.3,23.85,32.44,22.13,23.16,23.01,22.22
warm,fall,12.75,22.71,22.05,24.76,65.09,46.47,17.31,20.0,18.23
warm,fall,14.42,16.2,14.01,27.83,30.84,25.82,14.06,14.57,14.29
warm,fall,10.41,13.82,12.26,25.14,24.29,23.6,13.04,16.0,12.2
warm,fall,13.12,10.6,9.6,33.33,32.4,29.9,13.09,4.14,2.07
warm,fall,23.59,25.31,23.91,34.32,45.03,38.66,25.19,22.33,18.91
warm,fall,15.22,18.29,14.63,23.01,27.04,22.04,24.0,25.71,23.33
warm,fall,17.17,20.17,15.01,24.9,29.83,21.74,24.19,24.51,24.0
warm,fall,11.56,15.18,16.53,23.33,28.85,33.52,15.92,18.0,20.0
warm,fall,13.25,16.7,19.8,19.84,27.59,28.75,22.8,25.71,25.22
warm,fall,29.81,30.29,34.29,37.55,41.3,45.42,29.68,25.88,26.32
warm,fall,17.55,17.4,13.93,26.83,25.82,21.36,29.45,29.45,26.81
warm,fall,11.6,20.7,16.7,21.03,39.57,30.28,17.14,20.27,18.18
warm,fall,19.23,10.51,13.62,43.02,22.04,23.6,15.41,10.0,16.27
warm,fall,9.58,15.9,13.95,27.91,36.0,41.03,16.67,10.83,0.75
warm,fall,25.08,22.55,23.62,47.98,42.13,37.62,22.41,23.2,25.06
warm,fall,11.74,16.78,12.37,26.32,32.57,29.12,22.5,23.16,13.58
warm,fall,12.47,27.29,18.15,23.39,60.0,36.17,17.65,22.86,18.53
warm,fall,14.71,14.98,16.85,30.81,27.46,31.55,20.38,22.64,22.37
warm,fall,10.88,14.43,15.21,34.21,36.43,32.18,16.92,18.82,19.29
warm,fall,9.88,14.35,13.59,19.7,26.13,27.6,18.0,21.92,18.11
warm,fall,13.25,6.3,16.21,19.84,28.28,32.99,22.8,8.57,16.88
warm,fall,13.21,20.14,17.93,24.11,35.98,34.74,17.78,18.7,15.41
warm,fall,12.25,13.88,11.46,22.52,25.0,21.83,18.0,18.21,15.6
warm,fall,8.75,12.59,9.77,20.09,25.69,22.46,9.13,13.93,7.92
warm,fall,9.61,15.19,11.25,21.4,36.42,23.96,11.74,13.33,12.69
warm,fall,11.22,19.02,10.54,31.87,55.47,25.81,6.21,11.83,7.5
warm,fall,10.25,16.96,15.89,28.87,25.73,32.42,14.63,23.23,12.68
warm,fall,15.84,16.39,13.18,25.74,27.35,22.18,20.66,19.69,19.25
warm,fall,6.6,22.19,22.4,9.05,31.7,42.69,31.43,28.73,23.84
warm,fall,25.15,26.73,26.11,42.72,53.53,54.44,21.82,19.78,17.61
warm,fall,11.83,13.15,10.28,25.39,25.12,22.33,15.92,18.46,12.5
warm,fall,10.63,16.55,16.58,19.67,29.49,31.86,15.0,16.52,14.17
warm,fall,15.36,13.68,13.68,31.0,25.33,26.34,16.45,16.84,15.25
warm,fall,14.92,14.79,14.13,22.45,24.87,23.35,32.73,28.09,27.39
warm,fall,13.89,19.23,16.26,23.4,30.84,26.56,19.64,22.29,19.69
warm,fall,13.7,16.27,18.36,28.09,24.69,32.61,20.4,23.0,16.8
warm,fall,9.61,12.02,14.71,21.4,26.54,32.97,11.74,11.79,15.0
warm,fall,4.98,10.27,11.15,12.68,27.22,31.71,8.89,9.8,9.23
warm,fall,16.86,13.42,10.51,26.82,21.46,17.06,24.41,20.38,19.53
warm,fall,14.35,14.34,15.08,24.29,24.17,25.6,23.53,23.53,23.77
warm,fall,13.89,14.09,13.07,31.98,30.18,29.41,11.43,10.75,9.23
warm,fall,18.56,22.12,20.67,31.51,44.58,35.16,20.87,21.89,20.26
warm,fall,9.58,11.87,9.47,20.35,25.65,20.68,11.49,10.17,9.8
warm,fall,9.46,12.02,14.69,21.03,26.54,32.79,12.0,11.79,15.0
warm,fall,9.99,3.91,11.3,22.5,8.12,32.05,13.33,18.75,10.8
warm,fall,12.45,15.97,15.48,24.75,30.26,31.72,18.37,20.34,18.31
warm,fall,13.93,17.2,11.5,21.95,27.87,20.72,21.11,19.41,15.0
warm,fall,10.14,14.87,11.03,24.43,33.17,23.55,7.78,11.64,9.47
warm,fall,15.44,13.42,19.62,32.93,22.71,34.39,21.11,24.26,24.92
warm,fall,11.16,16.43,14.71,22.7,28.14,24.29,20.0,24.64,24.71
